cid,ep,side,sec,off,q,best_ask,win,binance_ok,bucket
1785570000000,1785570000,UP,120.674,120,0.52,0.52,True,1,
1785570600000,1785570600,DOWN,89.647,85,0.57,0.57,False,0,
1785570900000,1785570900,UP,16.581,15,0.54,0.54,False,0,
1785571800000,1785571800,DOWN,59.899,55,0.5,0.5,False,0,
1785573300000,1785573300,DOWN,149.897,145,0.32,0.32,True,1,
1785573900000,1785573900,UP,68.386,65,0.18397304310778884,0.18,True,1,
1785574500000,1785574500,DOWN,285.563,285,0.88,0.88,True,1,
1785574800000,1785574800,DOWN,155.488,155,0.16081276664175648,0.15,False,0,
1785575400000,1785575400,DOWN,189.89,185,0.6301507438732609,0.63,True,1,
1785575700000,1785575700,DOWN,142.358,140,0.26,0.26,True,0,
1785576000000,1785576000,DOWN,259.071,255,0.8,0.8,True,1,
1785576300000,1785576300,UP,151.056,150,0.74,0.74,True,1,
1785577800000,1785577800,DOWN,123.689,120,0.66,0.66,True,1,
1785578100000,1785578100,UP,127.286,125,0.76,0.76,True,0,
1785578400000,1785578400,DOWN,37.588,35,0.34,0.34,True,1,
1785578700000,1785578700,DOWN,208.984,205,0.17112055443059634,0.13,False,0,
1785579000000,1785579000,UP,82.528,80,0.33830845771144286,0.33,True,1,
1785579300000,1785579300,UP,18.2,15,0.41,0.41,True,1,
1785579900000,1785579900,UP,170.687,170,0.81,0.81,False,1,
1785580200000,1785580200,DOWN,225.19,225,0.8,0.8,True,1,
1785580500000,1785580500,UP,285.183,285,0.8700000000000001,0.87,False,0,
1785581100000,1785581100,DOWN,109.837,105,0.4267524141284822,0.42,True,1,
1785582300000,1785582300,UP,227.043,225,0.7619791921066771,0.73,True,0,
1785582600000,1785582600,DOWN,136.041,135,0.47000000000000003,0.47,False,0,
1785582900000,1785582900,UP,295.792,295,0.72,0.72,False,0,
1785583800000,1785583800,DOWN,66.839,65,0.47520047520047515,0.47,True,1,
1785584400000,1785584400,DOWN,13.884,10,0.47000000000000003,0.47,True,1,
1785585900000,1785585900,DOWN,205.69,205,0.07,0.07,False,0,
1785586200000,1785586200,UP,142.176,140,0.77,0.77,False,0,
1785586800000,1785586800,UP,233.196,230,0.09488746346832656,0.09,False,0,
1785587700000,1785587700,UP,272.686,270,0.07460181282405164,0.07,False,0,
1785588000000,1785588000,DOWN,46.722,45,0.29,0.29,False,0,
1785588300000,1785588300,DOWN,10.074,10,0.45999999999999996,0.46,False,0,
1785588600000,1785588600,DOWN,32.847,30,0.28,0.28,False,0,
1785589500000,1785589500,UP,252.077,250,0.06304318458143829,0.06,False,0,
1785589800000,1785589800,DOWN,180.242,180,0.65,0.65,True,0,
1785591600000,1785591600,UP,127.774,125,0.39,0.39,False,0,
1785592500000,1785592500,UP,299.477,295,0.1385110066782093,0.13,False,1,
1785593100000,1785593100,DOWN,263.703,260,0.01,0.01,False,0,
1785593400000,1785593400,DOWN,49.989,45,0.46271683698584287,0.46,True,1,
1785593700000,1785593700,UP,65.754,65,0.5,0.5,True,1,
1785594000000,1785594000,DOWN,222.59,220,0.02,0.02,False,0,
1785594600000,1785594600,DOWN,104.17,100,0.32,0.32,True,1,
1785595800000,1785595800,UP,153.04,150,0.22999999999999998,0.23,False,0,
1785596400000,1785596400,UP,139.791,135,0.2934014024587038,0.29,False,0,
1785598800000,1785598800,DOWN,76.974,75,0.39115213862431797,0.38,True,0,
1785600000000,1785600000,UP,133.996,130,0.029999999999999995,0.03,False,0,
